[23:15:03]	Trainee RG-3506 used command '/ToggleRaise'.
[23:15:05]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/MetalBucket02a.mdl'.
[23:15:12]	Petty Officer Third Class Karissa Novar used the 'Armory' vendor.
[23:15:16]	Petty Officer Third Class Karissa Novar has gained 0 credits.
[23:15:16]	Petty Officer Third Class Karissa Novar has gained a 'Z-6I Blaster' #1294.
[23:15:21]	Petty Officer Third Class Karissa Novar has gained 0 credits.
[23:15:21]	Petty Officer Third Class Karissa Novar has gained a 'Tibanna Cartridge' #1295.
[23:15:21]	Petty Officer Third Class Karissa Novar has gained 0 credits.
[23:15:21]	Petty Officer Third Class Karissa Novar has gained a 'Tibanna Cartridge' #1296.
[23:15:22]	Petty Officer Third Class Karissa Novar has gained 0 credits.
[23:15:22]	Petty Officer Third Class Karissa Novar has gained a 'Tibanna Cartridge' #1297.
[23:15:22]	Petty Officer Third Class Karissa Novar has gained 0 credits.
[23:15:22]	Petty Officer Third Class Karissa Novar has gained a 'Tibanna Cartridge' #1298.
[23:15:22]	Petty Officer Third Class Karissa Novar has gained 0 credits.
[23:15:22]	Petty Officer Third Class Karissa Novar has gained a 'Tibanna Cartridge' #1299.
[23:15:27]	Trainee RG-3506 used command '/ToggleRaise'.
[23:15:43]	Trainee RG-3506 used command '/ToggleRaise'.
[23:15:44]	Petty Officer Third Class Karissa Novar ran 'Equip' on item 'Z-6I Blaster' (#1294)
[23:15:45]	Petty Officer Third Class Karissa Novar ran 'use' on item 'Tibanna Cartridge' (#1299)
[23:15:46]	Petty Officer Third Class Karissa Novar ran 'use' on item 'Tibanna Cartridge' (#1297)
[23:15:47]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[23:15:50]	Trainee RG-3506 has taken 34 damage from Petty Officer Third Class Karissa Novar.
[23:15:52]	Trainee RG-3506 has taken 34 damage from Petty Officer Third Class Karissa Novar.
[23:15:52]	Trainee RG-3506 has taken 35 damage from Petty Officer Third Class Karissa Novar.
[23:15:52]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with rw_sw_z6i.
[23:16:06]	Trainee RG-3506 used command '/ToggleRaise'.
[23:16:07]	Trainee RG-3506 has taken 36 damage from Petty Officer Third Class Karissa Novar.
[23:16:07]	Trainee RG-3506 has taken 36 damage from Petty Officer Third Class Karissa Novar.
[23:16:07]	Trainee RG-3506 has taken 35 damage from Petty Officer Third Class Karissa Novar.
[23:16:07]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with rw_sw_z6i.
[23:16:19]	Trainee RG-3506 has taken 35 damage from Petty Officer Third Class Karissa Novar.
[23:16:19]	Trainee RG-3506 has taken 33 damage from Petty Officer Third Class Karissa Novar.
[23:16:19]	Trainee RG-3506 has taken 34 damage from Petty Officer Third Class Karissa Novar.
[23:16:19]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with rw_sw_z6i.
[23:16:26]	Trainee RG-3506 has taken 35 damage from Petty Officer Third Class Karissa Novar.
[23:16:26]	Trainee RG-3506 has taken 36 damage from Petty Officer Third Class Karissa Novar.
[23:16:26]	Trainee RG-3506 has taken 37 damage from Petty Officer Third Class Karissa Novar.
[23:16:26]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with rw_sw_z6i.
[23:16:34]	Trainee RG-3506 entered observer.
[23:16:37]	Trainee RG-3506 exited observer at their location.
[23:16:37]	Trainee RG-3506 used command '/ToggleRaise'.
[23:16:37]	Trainee RG-3506 has taken 35 damage from Petty Officer Third Class Karissa Novar.
[23:16:37]	Trainee RG-3506 has taken 33 damage from Petty Officer Third Class Karissa Novar.
[23:16:38]	Trainee RG-3506 has taken 37 damage from Petty Officer Third Class Karissa Novar.
[23:16:38]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with rw_sw_z6i.
[23:16:38]	Trainee RG-3506 entered observer.
[23:16:41]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/plasticbucket001a.mdl'.
[23:16:44]	Trainee RG-3506 entered observer.
[23:16:45]	Trainee RG-3506 used command '/ToggleRaise'.
[23:16:46]	Trainee RG-3506 exited observer at their location.
