[13:03:40]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:00]	[OOC] Lieutenant Ezyn Linmer: yes
[13:04:01]	Lieutenant Ezyn Linmer entered observer.
[13:04:08]	[OOC] Sergeant RT-9824: Fuck
[13:04:15]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:17]	Lieutenant Ezyn Linmer entered observer.
[13:04:20]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:21]	Lieutenant Ezyn Linmer entered observer.
[13:04:22]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:23]	Lieutenant Ezyn Linmer entered observer.
[13:04:24]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:29]	[OOC] Sergeant RT-9824: Should join VC if you're not busy.
[13:04:30]	[OOC] Lieutenant Ezyn Linmer: hacve you seen the admin sit room
[13:04:31]	Lieutenant Ezyn Linmer entered observer.
[13:04:33]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:35]	Lieutenant Ezyn Linmer entered observer.
[13:04:38]	Lieutenant Ezyn Linmer exited observer at their location.
[13:04:41]	[OOC] Sergeant RT-9824: nope
[13:05:18]	[OOC] Lieutenant Ezyn Linmer: my therapist's office is nothing like thi,s fuck
[13:05:24]	[OOC] Sergeant RT-9824: bruh
[13:05:25]	Lieutenant Ezyn Linmer has spawned 'models/props_c17/door01_left.mdl'.
[13:05:30]	[OOC] Lieutenant Ezyn Linmer: this has been here for months now
[13:05:31]	Lieutenant Ezyn Linmer entered observer.
[13:05:36]	Lieutenant Ezyn Linmer exited observer at their location.
[13:05:39]	[OOC] Sergeant RT-9824: why do we have this?
[13:05:44]	[OOC] Lieutenant Ezyn Linmer: i got obred
[13:05:46]	[OOC] Lieutenant Ezyn Linmer: months ago
[13:05:49]	[OOC] Lieutenant Ezyn Linmer: and amde it
[13:05:49]	[OOC] Sergeant RT-9824: lmao
[13:05:54]	Lieutenant Ezyn Linmer entered observer.
[13:05:56]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:06]	Lieutenant Ezyn Linmer entered observer.
[13:06:14]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:16]	Lieutenant Ezyn Linmer entered observer.
[13:06:17]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:19]	Lieutenant Ezyn Linmer entered observer.
[13:06:21]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:21]	Lieutenant Ezyn Linmer entered observer.
[13:06:23]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:34]	Lieutenant Ezyn Linmer entered observer.
[13:06:37]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:40]	[OOC] Sergeant RT-9824: I have told Chicken to donate if he wants me to apply for staff.
[13:06:47]	Lieutenant Ezyn Linmer entered observer.
[13:06:48]	Lieutenant Ezyn Linmer exited observer at their location.
[13:06:49]	[OOC] Lieutenant Ezyn Linmer: lmao
[13:07:08]	[OOC] Lieutenant Ezyn Linmer: FUCK
[13:07:09]	Lieutenant Ezyn Linmer entered observer.
[13:07:12]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:12]	Lieutenant Ezyn Linmer entered observer.
[13:07:13]	[OOC] Sergeant RT-9824: nice
[13:07:21]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:25]	Lieutenant Ezyn Linmer entered observer.
[13:07:26]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:26]	Lieutenant Ezyn Linmer entered observer.
[13:07:27]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:35]	Lieutenant Ezyn Linmer entered observer.
[13:07:36]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:36]	Lieutenant Ezyn Linmer entered observer.
[13:07:39]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:41]	Lieutenant Ezyn Linmer entered observer.
[13:07:44]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:44]	Lieutenant Ezyn Linmer entered observer.
