[17:48:54]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3071][tfa_rustalpha_ammo_handmade_shell]'.
[17:48:54]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3120][tfa_rustalpha_ammo_handmade_shell]'.
[17:48:54]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3002][tfa_rustalpha_ammo_handmade_shell]'.
[17:48:59]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][tfa_ammo_357]'.
[17:49:06]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][item_ammo_357]'.
[17:49:08]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][item_ammo_ar2]'.
[17:49:09]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][item_ammo_ar2_altfire]'.
[17:49:11]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][item_rpg_round]'.
[17:49:13]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][item_ammo_smg1_grenade]'.
[17:49:15]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][item_box_buckshot]'.
[17:49:20]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][tfa_rustalpha_ammo_handmade_shell]'.
[17:49:28]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][ent_bfg_ammo_heavy]'.
[17:49:30]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][ent_bfg_ammo_large]'.
[17:49:37]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][tfa_ammo_buckshot]'.
[17:49:40]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][tfa_ammo_sniper_rounds]'.
[17:49:44]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3000][tfa_ammo_sniper_rounds]'.
[17:49:44]	CCA.C17-JUDGE.i2.58102 has spawned a 'Entity [3002][tfa_ammo_sniper_rounds]'.
[17:49:47]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:49:51]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:50:24]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:50:26]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:50:29]	Francisco Fernández has taken 15 damage from CCA.C17-JUDGE.i2.58102.
[17:50:29]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:50:32]	Franz Ferdinand has taken 15 damage from CCA.C17-JUDGE.i2.58102.
[17:50:33]	Franz Ferdinand has taken 100 damage from worldspawn.
[17:50:33]	worldspawn has killed Franz Ferdinand.
[17:50:46]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:50:48]	Franz Ferdinand has taken 15 damage from CCA.C17-JUDGE.i2.58102.
[17:50:51]	Franz Ferdinand has taken 14 damage from CCA.C17-JUDGE.i2.58102.
[17:50:53]	Francisco Fernández used command '/ActSit'.
[17:50:54]	Franz Ferdinand has taken 14 damage from CCA.C17-JUDGE.i2.58102.
[17:50:55]	Franz Ferdinand has taken 7 damage from CCA.C17-JUDGE.i2.58102.
