[14:06:29]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:06:35]	CCA.C17-GRID.i1.59212 entered observer.
[14:06:37]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:06:40]	CCA.C17-GRID.i1.59212 entered observer.
[14:06:41]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:06:41]	CCA.C17-GRID.i1.59212 entered observer.
[14:06:42]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:06:42]	CCA.C17-GRID.i1.59212 entered observer.
[14:06:53]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:06:57]	CCA.C17-GRID.i1.59212 entered observer.
[14:06:59]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:07:00]	CCA.C17-GRID.i1.59212 entered observer.
[14:07:02]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:07:03]	CCA.C17-GRID.i1.59212 entered observer.
[14:07:09]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:07:11]	CCA.C17-GRID.i1.59212 entered observer.
[14:07:12]	CCA.C17-GRID.i1.59212 exited observer at their location.
[14:07:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PropaneCanister001a.mdl'.
[14:07:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PropaneCanister001a.mdl'.
[14:07:26]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:07:26]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:07:26]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:07:26]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:07:26]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
[14:07:26]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/propanecanister001a.mdl'.
