[15:31:59]	CCA.C17-UNION.i5.94233 used command '/ViewData jona'.
[15:32:12]	George Wach opened the 'Dumpster' #239 container.
[15:32:12]	[OOC] Jonathan Jackson: you got beat up
[15:32:14]	George Wach closed the 'Dumpster' #239 container.
[15:32:20]	[OOC] Jefferson Jackson: i had no crowbar then
[15:32:24]	[OOC] Jefferson Jackson: now i will kick your ass
[15:32:37]	George Wach has gained a 'Minimum Grade Food Product (Liver Flavor)' #37998.
[15:32:46]	Jefferson Jackson has gained a 'Blood Collecting Syringe' #37999.
[15:32:48]	George Wach has gained a 'Scrap Glass' #38000.
[15:32:51]	George Wach ran 'drop' on item 'Scrap Glass' (#38000)
[15:32:51]	George Wach has lost a 'Scrap Glass' #38000.
[15:32:57]	Jefferson Jackson ran 'DrawBlood' on item 'Blood Collecting Syringe' (#37999)
[15:33:08]	Jefferson Jackson has gained a 'Circuit Board' #38001.
[15:33:10]	Jefferson Jackson ran 'drop' on item 'Circuit Board' (#38001)
[15:33:10]	Jefferson Jackson has lost a 'Circuit Board' #38001.
[15:33:31]	George Wach ran 'take' on item 'Broken LCD Monitor' (#37371)
[15:33:31]	George Wach has gained a 'Broken LCD Monitor' #37371.
[15:33:32]	Jonathan Jackson destroyed a 'Empty Paint Can' #37970.
[15:33:35]	George Wach ran 'drop' on item 'Broken LCD Monitor' (#37371)
[15:33:35]	George Wach has lost a 'Broken LCD Monitor' #37371.
[15:33:35]	Jonathan Jackson destroyed a 'Spark Plug' #37185.
[15:33:44]	George Wach has gained a 'Pin' #38002.
[15:33:47]	George Wach ran 'drop' on item 'Pin' (#38002)
[15:33:47]	George Wach has lost a 'Pin' #38002.
[15:33:56]	Jefferson Jackson has gained a 'Instant Cold Pack' #38003.
[15:34:07]	Jefferson Jackson has gained a 'Circuit Board' #38004.
[15:34:09]	Jefferson Jackson ran 'drop' on item 'Circuit Board' (#38004)
[15:34:09]	Jefferson Jackson has lost a 'Circuit Board' #38004.
[15:34:11]	Jefferson Jackson has gained a 'Broken Keyboard' #38005.
[15:34:13]	Jefferson Jackson ran 'drop' on item 'Broken Keyboard' (#38005)
[15:34:13]	Jefferson Jackson has lost a 'Broken Keyboard' #38005.
[15:34:14]	Jonathan Jackson destroyed a 'Broken Computer Monitor' #37972.
[15:34:25]	George Wach ran 'take' on item 'Paper' (#37616)
[15:34:25]	George Wach has gained a 'Paper' #37616.
[15:34:26]	Jefferson Jackson has gained a 'Empty Pill Bottle' #38006.
[15:34:28]	Jefferson Jackson ran 'drop' on item 'Empty Pill Bottle' (#38006)
[15:34:28]	Jefferson Jackson has lost a 'Empty Pill Bottle' #38006.
[15:34:31]	Jonathan Jackson opened the 'Metal Cabinet' #2811 container.
[15:34:31]	CCA.C17-UNION.i5.94233 used command '/ViewData jefferson'.
[15:34:32]	Jefferson Jackson ran 'take' on item 'Resin' (#37761)
[15:34:32]	Jefferson Jackson has gained a 'Resin' #37761.
[15:34:34]	Jonathan Jackson closed the 'Metal Cabinet' #2811 container.
[15:34:36]	Jonathan Jackson ran 'EquipUn' on item 'Reinforced Citizen Shirt' (#33609)
[15:34:38]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:34:42]	Jonathan Jackson has gained a 'Blue Pre-War Shirt' #24423.
[15:34:42]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:34:43]	Jefferson Jackson has gained a 'Boot' #38007.
[15:34:44]	George Wach ran 'View' on item 'Paper' (#33897)
[15:34:44]	Jonathan Jackson ran 'Equip' on item 'Blue Pre-War Shirt' (#24423)
[15:34:46]	Jefferson Jackson ran 'drop' on item 'Boot' (#38007)
[15:34:46]	Jefferson Jackson has lost a 'Boot' #38007.
[15:34:49]	Jefferson Jackson ran 'take' on item 'Pipe' (#37665)
[15:34:49]	Jefferson Jackson has gained a 'Pipe' #37665.
[15:35:01]	Jefferson Jackson has gained a 'Padlock' #38008.
[15:35:13]	George Wach ran 'View' on item 'Paper' (#26870)
[15:35:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:36:01]	Painevan loaded the character 'Harold George'
[15:36:04]	George Wach used command '/Apply'.
[15:36:06]	CCA.C17-UNION.i5.94233 used command '/ViewData George'.
[15:36:11]	[OOC] Harold George: and then he said it's georgin time
[15:36:20]	[OOC] Jefferson Jackson: nah its morbin time
[15:36:20]	Harold George ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30054)
[15:36:56]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected.
[15:37:01]	[OOC] Harold George: ez
[15:37:01]	[OOC] Jefferson Jackson: tortuga crashed
[15:37:03]	[OOC] Jefferson Jackson: stop
[15:37:05]	[OOC] Jefferson Jackson: or failrp
[15:37:06]	[OOC] Jefferson Jackson: >:(
[15:37:12]	[OOC] Harold George: winnar
[15:37:15]	[OOC] George Wach: bruh
[15:37:34]	Jefferson Jackson has taken 23 damage from worldspawn.
[15:37:34]	Jefferson Jackson has taken 100 damage from worldspawn.
[15:37:34]	worldspawn has killed Jefferson Jackson.
[15:37:48]	Weaponized Turtles has connected.
[15:37:51]	George Wach ran 'drop' on item 'Empty Pill Bottle' (#33764)
[15:37:51]	George Wach has lost a 'Empty Pill Bottle' #33764.
[15:38:03]	George Wach ran 'drop' on item 'Large Crystal Fragment' (#26641)
[15:38:03]	George Wach has lost a 'Large Crystal Fragment' #26641.
[15:38:16]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[15:38:23]	[OOC] Harold George: resume?
[15:38:25]	[OOC] CCA.C17-UNION.i5.94233: I PRESSED f8
[15:38:27]	[OOC] CCA.C17-UNION.i5.94233: sure
[15:38:35]	[Y] CCA.C17-UNION.i5.94233: <:: Amputate. ::>
[15:38:40]	Harold George has taken 12 damage from CCA.C17-UNION.i5.94233.
