[00:04:35]	Morgan Beck has lost a 'Charred Metal' #9304.
[00:04:35]	Morgan Beck has gained a 'Scrap Metal' #9321.
[00:04:36]	Morgan Beck has lost a 'Charred Metal' #9297.
[00:04:36]	Morgan Beck has lost a 'Charred Metal' #9253.
[00:04:36]	Morgan Beck has gained a 'Scrap Metal' #9322.
[00:04:38]	Morgan Beck has lost a 'Scrap Metal' #9320.
[00:04:38]	Morgan Beck has lost a 'Scrap Metal' #9321.
[00:04:38]	Morgan Beck has lost a 'Scrap Metal' #9322.
[00:04:38]	Morgan Beck has gained a 'Reclaimed Metal' #9319.
[00:04:40]	Morgan Beck has lost a 'Charred Metal' #9293.
[00:04:42]	Gordo Kin has lost a 'Reclaimed Metal' #9319.
[00:04:53]	Morgan Beck has lost a 'Charred Metal' #9307.
[00:04:53]	Morgan Beck has lost a 'Charred Metal' #9298.
[00:04:53]	Morgan Beck has gained a 'Scrap Metal' #9319.
[00:04:55]	[OOC] James Jacob: You want me to continue filling tanks?
[00:04:58]	[OOC] CCA.C08-GRID.i4.69192: affirmative
[00:04:59]	[LOOC] Gordo Kin: I can't do anything with it
[00:05:00]	[OOC] CCA.C08-GRID.i4.69192: my good bitch
[00:05:02]	[OOC] James Jacob: Copy
[00:05:04]	James Jacob has lost a 'Empty Combine Air Tank' #9181.
[00:05:04]	James Jacob has gained a 'Combine Air Tank' #9320.
[00:05:05]	James Jacob has taken 195 damage from James Jacob.
[00:05:05]	James Jacob has killed James Jacob.
[00:05:09]	[OOC] James Jacob: WTF
[00:05:10]	[OOC] CCA.C08-GRID.i4.69192: what is your engineering at
[00:05:14]	[OOC] James Jacob: 0.00
[00:05:17]	James Jacob entered observer.
[00:05:17]	James Jacob exited observer at their location.
[00:05:18]	[OOC] CCA.C08-GRID.i4.69192: THAT'S FUCKING WHY
[00:05:19]	Gordo Kin has lost a 'Scrap Metal' #9319.
[00:05:23]	Gordo Kin opened the '' #887 container.
[00:05:25]	James Jacob entered observer.
[00:05:25]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[00:05:29]	James Jacob exited observer at their location.
[00:05:33]	Gordo Kin closed the '' #887 container.
[00:05:34]	James Jacob entered observer.
[00:05:35]	James Jacob exited observer at their location.
[00:05:35]	Gordo Kin used the 'Crate' vendor.
[00:05:40]	Gordo Kin has gained 0 tokens.
[00:05:40]	Gordo Kin has gained a 'Charred Metal' #9321.
[00:05:40]	Gordo Kin has gained 0 tokens.
[00:05:40]	Gordo Kin has gained a 'Charred Metal' #9322.
[00:05:42]	Gordo Kin has gained 0 tokens.
[00:05:42]	Gordo Kin has gained a 'Charred Metal' #9323.
[00:05:42]	Gordo Kin has gained 0 tokens.
[00:05:42]	Gordo Kin has gained a 'Charred Metal' #9324.
[00:05:52]	CCA.C08-GRID.i4.69192 used command '/CharAddAttribute jacob eng 3'.
[00:05:57]	Morgan Beck entered observer.
[00:05:57]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[00:06:03]	CCA.C08-GRID.i4.69192 has spawned "Cars for Dummies, Vol. 1"
[00:06:06]	[LOOC] Gordo Kin: My suitcase is fucked as well
[00:06:11]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Cars for Dummies, Vol. 1' (#9325)
[00:06:11]	CCA.C08-GRID.i4.69192 has gained a 'Cars for Dummies, Vol. 1' #9325.
[00:06:13]	Gordo Kin used the 'Product Deposit' vendor.
[00:06:15]	James Jacob used the 'Product Deposit' vendor.
[00:06:18]	James Jacob has gained 10 tokens.
[00:06:22]	Morgan Beck exited observer at their location.
[00:06:23]	[OOC] Gordo Kin: That moment you can't deposit scrap metal
[00:06:29]	Gordo Kin used the 'Product Deposit' vendor.
[00:06:30]	[OOC] CCA.C08-GRID.i4.69192: you deposit refined
[00:06:31]	Morgan Beck ran 'drop' on item 'Suitcase' (#8308)
[00:06:31]	Morgan Beck has lost a 'Suitcase' #8308.
[00:06:31]	Morgan Beck has lost a 'Charred Metal' #9306.
[00:06:31]	Morgan Beck has lost a 'Charred Metal' #9305.
[00:06:34]	[OOC] Gordo Kin: Fuck
[00:06:34]	CCA.C08-GRID.i4.69192 has taken 5 damage from ix_vendor.
[00:06:35]	Morgan Beck destroyed a 'Suitcase' #8308.
[00:06:41]	James Jacob entered observer.
[00:06:41]	James Jacob exited observer at their location.
[00:06:45]	Gordo Kin opened the '' #1023 container.
[00:06:45]	[LOOC] CCA.C08-GRID.i4.69192: Read this.*
[00:06:47]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Cars for Dummies, Vol. 1' (#9325)
[00:06:47]	CCA.C08-GRID.i4.69192 has lost a 'Cars for Dummies, Vol. 1' #9325.
[00:06:48]	Gordo Kin closed the '' #1023 container.
[00:06:49]	Morgan Beck ran 'drop' on item 'Suitcase' (#8889)
[00:06:49]	Morgan Beck has lost a 'Suitcase' #8889.
[00:06:49]	Morgan Beck has lost a 'CWU General Shirt' #8309.
[00:06:49]	Morgan Beck has lost a 'Gray Pants' #7532.
[00:06:51]	Morgan Beck ran 'take' on item 'Suitcase' (#8889)
[00:06:51]	Morgan Beck has gained a 'Suitcase' #8889.
[00:06:51]	Morgan Beck has gained a 'CWU General Shirt' #8309.
[00:06:51]	Morgan Beck has gained a 'Gray Pants' #7532.
[00:06:57]	CCA.C08-GRID.i4.69192 entered observer.
[00:06:58]	CCA.C08-GRID.i4.69192 exited observer at their location.
[00:07:01]	[ME] Gordo Kin: Opens the book and begins reading
[00:07:02]	Gordo Kin ran 'read' on item 'Cars for Dummies, Vol. 1' (#9325)
[00:07:02]	CCA.C08-GRID.i4.69192 entered observer.
[00:07:02]	CCA.C08-GRID.i4.69192 exited observer at their location.
[00:07:03]	CCA.C08-GRID.i4.69192 entered observer.
[00:07:03]	CCA.C08-GRID.i4.69192 exited observer at their location.
[00:07:03]	Morgan Beck ran 'drop' on item 'Suitcase' (#8889)
[00:07:03]	Morgan Beck has lost a 'Suitcase' #8889.
[00:07:03]	Morgan Beck has lost a 'CWU General Shirt' #8309.
[00:07:03]	Morgan Beck has lost a 'Gray Pants' #7532.
[00:07:04]	Gordo Kin ran 'take' on item 'Cars for Dummies, Vol. 1' (#9325)
[00:07:04]	Gordo Kin has gained a 'Cars for Dummies, Vol. 1' #9325.
[00:07:04]	CCA.C08-GRID.i4.69192 entered observer.
[00:07:05]	Gordo Kin ran 'read' on item 'Cars for Dummies, Vol. 1' (#9325)
[00:07:05]	CCA.C08-GRID.i4.69192 exited observer at their location.
[00:07:05]	CCA.C08-GRID.i4.69192 entered observer.
[00:07:06]	CCA.C08-GRID.i4.69192 exited observer at their location.
[00:07:06]	Gordo Kin ran 'drop' on item 'Cars for Dummies, Vol. 1' (#9325)
[00:07:06]	Gordo Kin has lost a 'Cars for Dummies, Vol. 1' #9325.
[00:07:15]	Morgan Beck used command '/adminspawnmenu'.
[00:07:18]	James Jacob entered observer.
[00:07:19]	James Jacob opened the '' #886 container.
[00:07:21]	Morgan Beck has spawned "Suitcase"
[00:07:23]	James Jacob closed the '' #886 container.
[00:07:24]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Cars for Dummies, Vol. 1' (#9325)
