[00:26:23]	[OOC] CCA.C08-JUDGE.i1.91412: need a staff for roll shit
[00:26:33]	James Jacob entered observer.
[00:26:37]	[LOOC] James Albright: admin stuiff
[00:26:38]	James Jacob exited observer at their location.
[00:26:39]	James Albright entered observer.
[00:26:40]	James Albright exited observer at their location.
[00:26:41]	James Albright entered observer.
[00:26:42]	James Albright exited observer at their location.
[00:26:43]	James Albright entered observer.
[00:26:45]	James Albright exited observer at their location.
[00:26:45]	James Jacob entered observer.
[00:26:46]	James Jacob exited observer at their location.
[00:26:50]	James Jacob entered observer.
[00:26:51]	James Jacob exited observer at their location.
[00:26:58]	[ME] CCA.C08-JUDGE.i1.91412: aims at the lock, and takes a shot with his 9mm.
[00:27:00]	CCA.C08-JUDGE.i1.91412 rolled 98 out of 100.
[00:27:00]	CCA.C08-JUDGE.i1.91412 used command '/Roll'.
[00:27:04]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Gamer
[00:27:06]	[IT] James Albright: It comes right the fuck open, damn.
[00:27:15]	James Albright has spawned 'models/props_wasteland/prison_padlock001b.mdl'.
[00:27:24]	James Albright has set the password for 'Metal Cabinet'.
[00:27:28]	James Albright has removed the password for 'Metal Cabinet'.
[00:27:28]	James Albright opened the 'Metal Cabinet' #1497 container.
[00:27:32]	James Albright closed the 'Metal Cabinet' #1497 container.
[00:27:33]	James Albright entered observer.
[00:27:35]	James Albright exited observer at their location.
[00:27:36]	CCA.C08-JUDGE.i1.91412 opened the 'Metal Cabinet' #1497 container.
[00:27:38]	CCA.C08-UNION.i5.19267 opened the 'Metal Cabinet' #1497 container.
[00:27:39]	CCA.C08-UNION.i5.19267 opened the 'Metal Cabinet' #1497 container.
[00:27:41]	CCA.C08-JUDGE.i1.91412 closed the 'Metal Cabinet' #1497 container.
[00:27:42]	James Jacob entered observer.
[00:27:42]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:27:43]	CCA.C08-UNION.i5.19267 opened the 'Metal Cabinet' #1497 container.
[00:27:43]	CCA.C08-UNION.i5.19267 closed the 'Metal Cabinet' #1497 container.
[00:27:44]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Such*
[00:27:44]	CCA.C08-UNION.i5.19267 opened the 'Metal Cabinet' #1497 container.
[00:27:46]	James Jacob exited observer at their location.
[00:27:46]	CCA.C08-JUDGE.i1.91412 opened the 'Metal Cabinet' #1497 container.
[00:27:49]	CCA.C08-UNION.i5.19267 closed the 'Metal Cabinet' #1497 container.
[00:27:52]	CCA.C08-UNION.i5.19267 opened the 'Metal Cabinet' #1497 container.
[00:27:52]	James Jacob entered observer.
[00:27:58]	CCA.C08-UNION.i5.19267 closed the 'Metal Cabinet' #1497 container.
[00:28:00]	CCA.C08-UNION.i5.19267 opened the 'Metal Cabinet' #1497 container.
[00:28:02]	CCA.C08-JUDGE.i1.91412 opened the 'Metal Cabinet' #1497 container.
