[16:14:44]	Lee Maylor has spawned a 'NPC [1136][npc_antlionguard]'.
[16:14:46]	Lee Maylor exited observer at their location.
[16:14:49]	Lee Maylor has taken 20 damage from npc_antlionguard.
[16:14:49]	Lee Maylor has taken 999999936 damage from npc_antlionguard.
[16:15:00]	Lee Maylor entered observer.
[16:15:05]	Lee Maylor has spawned a 'NPC [1136][npc_zombie]'.
[16:15:09]	Lee Maylor has spawned 'models/props_wasteland/rockgranite03a.mdl'.
[16:15:10]	Lee Maylor has spawned 'models/props_wasteland/rockgranite03b.mdl'.
[16:15:11]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster03c.mdl'.
[16:15:14]	Lee Maylor has spawned 'models/props_wasteland/rockcliff05e.mdl'.
[16:15:16]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01b.mdl'.
[16:15:34]	Lee Maylor has spawned a 'NPC [2992][npc_antlionguard]'.
[16:15:36]	Lee Maylor exited observer at their location.
[16:15:37]	Lee Maylor entered observer.
[16:15:42]	Lee Maylor exited observer at their location.
[16:15:45]	Lee Maylor has taken 20 damage from npc_antlionguard.
[16:15:45]	Lee Maylor has taken 68 damage from npc_antlionguard.
[16:15:47]	Lee Maylor entered observer.
[16:15:47]	Lee Maylor exited observer at their location.
[16:15:49]	Lee Maylor entered observer.
[16:15:57]	Lee Maylor has spawned a 'NPC [2992][npc_antlionguard]'.
[16:15:59]	Lee Maylor exited observer at their location.
[16:16:00]	Lee Maylor entered observer.
[16:17:00]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01e.mdl'.
[16:17:01]	Lee Maylor has spawned 'models/props_wasteland/rockcliff05a.mdl'.
[16:17:05]	Lee Maylor has spawned 'models/props_wasteland/rockcliff05b.mdl'.
[16:17:59]	Lee Maylor exited observer at their location.
[16:18:00]	Lee Maylor entered observer.
[16:18:02]	Lee Maylor has spawned a 'NPC [2992][npc_antlionguard]'.
[16:18:04]	Lee Maylor exited observer at their location.
[16:18:05]	Lee Maylor entered observer.
[16:20:16]	Lee Maylor exited observer at their location.
[16:21:56]	Lee Maylor entered observer.
[16:22:00]	Lee Maylor exited observer at their location.
[16:22:00]	Lee Maylor has spawned 'models/props_wasteland/pipecluster003a_small.mdl'.
[16:22:12]	Lee Maylor has spawned 'models/props_canal/generator02.mdl'.
[16:22:13]	Lee Maylor entered observer.
[16:22:15]	Lee Maylor exited observer at their location.
[16:22:16]	Lee Maylor has spawned 'models/props_canal/boxcar_door.mdl'.
[16:22:36]	Lee Maylor has spawned 'models/props_canal/refinery_02_skybox.mdl'.
[16:22:38]	Lee Maylor has spawned 'models/props_canal/mattpipe.mdl'.
[16:22:41]	Lee Maylor has spawned 'models/props_canal/bridge_pillar02.mdl'.
[16:22:43]	Lee Maylor entered observer.
[16:22:47]	Lee Maylor exited observer at their location.
[16:22:49]	Lee Maylor has spawned 'models/props_canal/boat001b_chunk02.mdl'.
[16:22:56]	Lee Maylor has spawned 'models/props_c17/trap_crush01a.mdl'.
[16:22:58]	Lee Maylor entered observer.
[16:23:00]	Lee Maylor exited observer at their location.
[16:23:00]	Lee Maylor entered observer.
[16:23:01]	Lee Maylor has spawned 'models/props_c17/trap_crush01a.mdl'.
[16:23:23]	Lee Maylor exited observer at their location.
[16:23:25]	Lee Maylor has spawned 'models/props_interiors/handrailcluster01b_corner.mdl'.
[16:23:34]	Lee Maylor has spawned 'models/props_trainstation/tracklight01.mdl'.
[16:23:43]	Lee Maylor has spawned 'models/props_vehicles/trailer002a.mdl'.
[16:23:43]	Lee Maylor entered observer.
[16:23:45]	Lee Maylor exited observer at their location.
[16:23:47]	Lee Maylor entered observer.
[16:23:47]	Lee Maylor exited observer at their location.
[16:23:49]	Lee Maylor has spawned 'models/props_vehicles/wagon001a_phy.mdl'.
[16:23:49]	Lee Maylor entered observer.
[16:23:51]	Lee Maylor has spawned 'models/props_vehicles/wagon001a.mdl'.
[16:23:54]	Lee Maylor has spawned 'models/props_vehicles/wagon001a_phy.mdl'.
[16:23:56]	Lee Maylor has spawned 'models/props_vehicles/wagon001a.mdl'.
[16:24:28]	Lee Maylor exited observer at their location.
[16:24:29]	Lee Maylor has spawned 'models/props_vehicles/car005a.mdl'.
[16:24:29]	Lee Maylor entered observer.
[16:24:53]	Lee Maylor has spawned 'models/props_vehicles/apc001.mdl'.
[16:24:56]	Lee Maylor has spawned 'models/props_vehicles/generatortrailer01.mdl'.
[16:25:23]	Lee Maylor exited observer at their location.
